Name,club,overall,player_positions
Cristiano Ronaldo dos Santos Aveiro,Juventus,94,"ST, LW"
Lionel Andrés Messi Cuccittini,FC Barcelona,94,"CF, RW, ST"
Neymar da Silva Santos Junior,Paris Saint-Germain,92,"LW, CAM"
David De Gea Quintana,Manchester United,91,GK
Kevin De Bruyne,Manchester City,91,"CAM, CM"
Sergio Ramos García,Real Madrid,91,CB
Luis Alberto Suárez Díaz,FC Barcelona,91,ST
Luka Modrić,Real Madrid,91,"CM, CDM"
Eden Hazard,Chelsea,91,"LW, CF"
Jan Oblak,Atlético Madrid,90,GK
Thibaut Courtois,Real Madrid,90,GK
Manuel Neuer,FC Bayern München,90,GK
Diego Godín,Atlético Madrid,90,CB
Toni Kroos,Real Madrid,90,"CM, CDM"
Robert Lewandowski,FC Bayern München,90,ST
Paulo Bruno Exequiel Dybala,Juventus,89,"CAM, ST, CF"
Marc-André ter Stegen,FC Barcelona,89,GK
Francisco Román Alarcón Suárez,Real Madrid,89,"CAM, CM, LW"
Harry Kane,Tottenham Hotspur,89,ST
Antoine Griezmann,Atlético Madrid,89,ST
N'Golo Kanté,Chelsea,89,"CDM, CM"
Giorgio Chiellini,Juventus,89,CB
Sergio Leonel Agüero del Castillo,Manchester City,89,ST
David Josué Jiménez Silva,Manchester City,89,"CAM, CM"
Mats  Hummels,FC Bayern München,89,CB
Edinson Roberto Cavani Gómez,Paris Saint-Germain,89,ST
Christian  Dannemann Eriksen,Tottenham Hotspur,88,"CAM, RM, CM"
Paul Pogba,Manchester United,88,"CM, CDM"
Carlos Henrique Venancio Casimiro,Real Madrid,88,CDM
Philippe Coutinho Correia,FC Barcelona,88,"LW, RW, CM"
James David Rodríguez Rubio,FC Bayern München,88,"CAM, CM, RM"
Mohamed  Salah Ghaly,Liverpool,88,RW
Gianluigi Buffon,Paris Saint-Germain,88,GK
Samir Handanovič,Inter,88,GK
Thiago Emiliano da Silva,Paris Saint-Germain,88,CB
Gonzalo Gerardo Higuaín,Milan,88,ST
Hugo Lloris,Tottenham Hotspur,88,GK
Gareth Frank Bale,Real Madrid,88,"RW, ST"
Marcelo Vieira da Silva Júnior,Real Madrid,88,LB
Sergio Busquets i Burgos,FC Barcelona,88,"CDM, CM"
Lorenzo Insigne,Napoli,88,LW
Kylian Mbappé,Paris Saint-Germain,87,"RW, ST, RM"
Samuel Umtiti,FC Barcelona,87,CB
Kalidou Koulibaly,Napoli,87,CB
Mauro Emanuel Icardi Rivero,Inter,87,ST
Romelu Lukaku,Manchester United,87,ST
Gerard Piqué Bernabéu,FC Barcelona,87,CB
Ivan Rakitić,FC Barcelona,87,CM
Marek Hamšík,Napoli,87,CM
Jan Vertonghen,Tottenham Hotspur,87,CB
Dries Mertens,Napoli,87,"CF, ST"
Alexis Alejandro Sánchez Sánchez,Manchester United,87,"LW, LM, ST, CAM"
Pierre-Emerick Aubameyang,Arsenal,87,ST
