Name,club,overall,player_positions
Cristiano Ronaldo dos Santos Aveiro,Real Madrid,94,"LW, ST"
Lionel Andrés Messi Cuccittini,FC Barcelona,93,RW
Neymar da Silva Santos Junior,Paris Saint-Germain,92,LW
Manuel Neuer,FC Bayern München,92,GK
Luis Alberto Suárez Díaz,FC Barcelona,92,ST
Robert Lewandowski,FC Bayern München,91,ST
David De Gea Quintana,Manchester United,90,GK
Eden Hazard,Chelsea,90,LW
Sergio Ramos García,Real Madrid,90,CB
Gonzalo Gerardo Higuaín,Juventus,90,ST
Toni Kroos,Real Madrid,90,"CM, CDM"
Thibaut Courtois,Chelsea,89,GK
Kevin De Bruyne,Manchester City,89,"CAM, CM, RM"
Gianluigi Buffon,Juventus,89,GK
Giorgio Chiellini,Juventus,89,CB
Sergio Leonel Agüero del Castillo,Manchester City,89,ST
Gareth Frank Bale,Real Madrid,89,RW
Luka Modrić,Real Madrid,89,"CM, CDM"
Alexis Alejandro Sánchez Sánchez,Arsenal,89,"LM, ST, LW, RM"
Jan Oblak,Atlético Madrid,88,GK
Paulo Bruno Exequiel Dybala,Juventus,88,"CAM, ST"
Antoine Griezmann,Atlético Madrid,88,"ST, RW, LW"
Thiago Alcântara do Nascimento,FC Bayern München,88,"CM, CAM, CDM"
Arjen Robben,FC Bayern München,88,"RM, RW"
Zlatan Ibrahimović,Manchester United,88,ST
Thiago Emiliano da Silva,Paris Saint-Germain,88,CB
Hugo Lloris,Tottenham Hotspur,88,GK
Mesut Özil,Arsenal,88,"CAM, RW"
Mats  Hummels,FC Bayern München,88,CB
Diego Godín,Atlético Madrid,88,CB
Jérôme Boateng,FC Bayern München,88,CB
Leonardo Bonucci,Milan,88,CB
Pierre-Emerick Aubameyang,Borussia Dortmund,88,ST
Paul Pogba,Manchester United,87,"CM, CDM"
Christian  Dannemann Eriksen,Tottenham Hotspur,87,"CAM, RM, LM"
Marco Verratti,Paris Saint-Germain,87,"CM, CDM"
N'Golo Kanté,Chelsea,87,"CDM, CM"
Gerard Piqué Bernabéu,FC Barcelona,87,CB
Samir Handanovič,Inter,87,GK
David Josué Jiménez Silva,Manchester City,87,"CAM, CM, LM"
Ivan Rakitić,FC Barcelona,87,CM
Marek Hamšík,Napoli,87,CM
Marcelo Vieira da Silva Júnior,Real Madrid,87,LB
Edinson Roberto Cavani Gómez,Paris Saint-Germain,87,ST
Arturo Vidal,FC Bayern München,87,"CDM, CM"
Romelu Lukaku,Manchester United,86,ST
Francisco Román Alarcón Suárez,Real Madrid,86,"CM, CAM, RM, LM"
Harry Kane,Tottenham Hotspur,86,ST
Philippe Coutinho Correia,Liverpool,86,"LW, CAM"
James David Rodríguez Rubio,FC Bayern München,86,"CAM, CM, RM"
Alex Sandro Lobo Silva,Juventus,86,"LB, LM"
David Olatukunbo Alaba,FC Bayern München,86,"LB, CB, CM"
Toby Alderweireld,Tottenham Hotspur,86,CB
Petr Čech,Arsenal,86,GK
Képler Laveran Lima Ferreira,Beşiktaş JK,86,CB
Franck Bilal Ribéry,FC Bayern München,86,"LM, LW"
Francesc Fàbregas i Soler,Chelsea,86,"CM, CDM, CAM"
Karim Benzema,Real Madrid,86,ST
João Miranda de Souza Filho,Inter,86,CB
Sokratis Papastathopoulos,Borussia Dortmund,86,CB
Dries Mertens,Napoli,86,"CF, LW, ST"
Javier Martínez Aginaga,FC Bayern München,86,"CB, CDM"
Radja Nainggolan,Roma,86,"CM, CAM"
Diego da Silva Costa,Chelsea,86,ST
David Luiz Moreira Marinho,Chelsea,86,CB
Marco Reus,Borussia Dortmund,86,"LM, ST, LW"
Sergio Busquets i Burgos,FC Barcelona,86,"CDM, CM"
Thomas Müller,FC Bayern München,86,"CF, RW, CAM, ST"
Raphaël Varane,Real Madrid,85,CB
Yannick Ferreira Carrasco,Atlético Madrid,85,"LM, RM"
Marc-André ter Stegen,FC Barcelona,85,GK
Carlos Henrique Venancio Casimiro,Real Madrid,85,CDM
Bernd Leno,Bayer 04 Leverkusen,85,GK
Alexandre Lacazette,Arsenal,85,ST
César Azpilicueta Tanco,Chelsea,85,"CB, RB, LB"
İlkay Gündoğan,Manchester City,85,"CM, CDM"
Miralem Pjanić,Juventus,85,"CM, CDM"
Lorenzo Insigne,Napoli,85,LW
Andrea Barzagli,Juventus,85,CB
Vincent Kompany,Manchester City,85,CB
Filipe Luís Kasmirski,Atlético Madrid,85,LB
Stéphane Ruffier,AS Saint-Étienne,85,GK
Blaise Matuidi,Juventus,85,"CDM, CM"
Jan Vertonghen,Tottenham Hotspur,85,CB
Claudio Marchisio,Juventus,85,"CM, CDM"
Ángel Fabián Di María Hernández,Paris Saint-Germain,85,"RW, LW"
Jordi Alba Ramos,FC Barcelona,85,LB
Kamil Glik,AS Monaco,85,CB
Danijel Subašić,AS Monaco,85,GK
Henrikh Mkhitaryan,Manchester United,85,"RM, RW, LM"
Keylor Navas,Real Madrid,85,GK
Marco Asensio Willemsen,Real Madrid,84,"CAM, RM, LM, LW"
Bernardo Mota Veiga de Carvalho e Silva,Manchester City,84,RM
Timo Horn,1. FC Köln,84,GK
Bamidele Alli,Tottenham Hotspur,84,"CAM, CF, LM"
Mauro Emanuel Icardi Rivero,Inter,84,ST
Aymeric  Laporte,Athletic Club de Bilbao,84,CB
Eric Bailly,Manchester United,84,CB
Jorge Resurrección Merodio,Atlético Madrid,84,"CM, RM, LM"
