Name,club,overall,player_positions
Lionel Andrés Messi Cuccittini,FC Barcelona,94,"RW, CF"
Cristiano Ronaldo dos Santos Aveiro,Real Madrid,93,"LW, LM"
Arjen Robben,FC Bayern München,90,"RM, LM, RW"
Manuel Neuer,FC Bayern München,90,GK
Luis Alberto Suárez Díaz,FC Barcelona,90,ST
Eden Hazard,Chelsea,89,LM
Zlatan Ibrahimović,Paris Saint-Germain,89,ST
Neymar da Silva Santos Junior,FC Barcelona,88,LW
Thiago Emiliano da Silva,Paris Saint-Germain,88,CB
David Josué Jiménez Silva,Manchester City,88,"CAM, LM"
James David Rodríguez Rubio,Real Madrid,87,"CAM, CM, RM"
Gareth Frank Bale,Real Madrid,87,"RM, RW"
Toni Kroos,Real Madrid,87,"CM, CDM"
Jérôme Boateng,FC Bayern München,87,CB
Robert Lewandowski,FC Bayern München,87,ST
Mesut Özil,Arsenal,87,"CAM, LW"
Philipp Lahm,FC Bayern München,87,"CDM, RB, CM"
Giorgio Chiellini,Juventus,87,CB
Sergio Leonel Agüero del Castillo,Manchester City,87,ST
Sergio Ramos García,Real Madrid,87,CB
Franck Bilal Ribéry,FC Bayern München,87,LM
Francesc Fàbregas i Soler,Chelsea,87,"CM, CAM"
Luka Modrić,Real Madrid,87,"CM, CDM"
Paul Pogba,Juventus,86,CM
Thibaut Courtois,Chelsea,86,GK
Kevin De Bruyne,Manchester City,86,"CAM, LM, RM"
David De Gea Quintana,Manchester United,86,GK
Karim Benzema,Real Madrid,86,ST
Mats  Hummels,Borussia Dortmund,86,CB
Alexis Alejandro Sánchez Sánchez,Arsenal,86,"LW, RW"
Marco Reus,Borussia Dortmund,86,"LM, CAM"
Sergio Busquets i Burgos,FC Barcelona,86,CDM
Thomas Müller,FC Bayern München,86,"CF, RM, CAM, ST"
Diego da Silva Costa,Chelsea,86,ST
Wayne Mark Rooney,Manchester United,86,"ST, CM, CAM"
Bastian Schweinsteiger,Manchester United,86,"CM, CDM"
Carlos Alberto Tevez,Boca Juniors,86,"ST, CF"
Arturo Vidal,FC Bayern München,86,"CM, CAM, CDM"
David Olatukunbo Alaba,FC Bayern München,85,"LB, CM, CB, CDM"
Gerard Piqué Bernabéu,FC Barcelona,85,CB
John Terry,Chelsea,85,CB
Gnégnéri Yaya Touré,Manchester City,85,"CM, CDM"
Petr Čech,Arsenal,85,GK
Vincent Kompany,Manchester City,85,CB
Santiago Cazorla González,Arsenal,85,"CAM, CM, LM"
Hugo Lloris,Tottenham Hotspur,85,GK
Ronaldo  Aparecido Rodrigues,VfL Wolfsburg,85,CB
Edinson Roberto Cavani Gómez,Paris Saint-Germain,85,"ST, LW, RW"
Diego Godín,Atlético Madrid,85,CB
Ángel Fabián Di María Hernández,Paris Saint-Germain,85,"CAM, CM, RM"
Francisco Román Alarcón Suárez,Real Madrid,84,"CAM, CM, LM"
Marco Verratti,Paris Saint-Germain,84,"CM, CDM"
Oscar dos Santos Emboaba Júnior,Chelsea,84,"CAM, RM"
Philippe Coutinho Correia,Liverpool,84,"CAM, LW, CM"
Jordi Alba Ramos,FC Barcelona,84,LB
Mario Götze,FC Bayern München,84,"CAM, LM, CF, CM"
Bernd Leno,Bayer 04 Leverkusen,84,GK
Alexandre Lacazette,Olympique Lyonnais,84,"ST, RW"
Javier Matías Pastore,Paris Saint-Germain,84,"CM, LW, RW"
Nemanja Matić,Chelsea,84,CDM
Gonzalo Gerardo Higuaín,Napoli,84,ST
Miralem Pjanić,Roma,84,CM
Ivan Rakitić,FC Barcelona,84,"CM, CAM"
Blaise Matuidi,Paris Saint-Germain,84,"CDM, CM"
Javier Martínez Aginaga,FC Bayern München,84,"CB, CDM, CM"
Gianluigi Buffon,Juventus,84,GK
Iker Casillas Fernández,FC Porto,84,GK
Andrea Pirlo,New York City FC,84,"CM, CDM"
Robin van Persie,Fenerbahçe SK,84,ST
Steven  Gerrard,LA Galaxy,84,"CM, CDM, CAM"
Xabier Alonso Olano,FC Bayern München,84,"CDM, CM"
Képler Laveran Lima Ferreira,Real Madrid,84,CB
Andrea Barzagli,Juventus,84,CB
Wesley Sneijder,Galatasaray SK,84,CAM
Daniel Alves da Silva,FC Barcelona,84,RB
Joe Hart,Manchester City,84,GK
João Miranda de Souza Filho,Inter,84,CB
Claudio Marchisio,Juventus,84,"CM, CDM"
Medhi Amine El Mouttaqi Benatia,FC Bayern München,84,CB
Juan Manuel Mata García,Manchester United,84,"RM, CAM"
Givanildo Vieira de Souza,Zenit St. Petersburg,84,"RW, ST, RM"
Nicolás Hernán Otamendi,Manchester City,84,CB
