Name,club,overall,player_positions
Lionel Andrés Messi Cuccittini,FC Barcelona,94,"RW, CF, ST"
Cristiano Ronaldo dos Santos Aveiro,Juventus,93,"ST, LW"
Neymar da Silva Santos Junior,Paris Saint-Germain,92,"LW, CAM"
Jan Oblak,Atlético Madrid,91,GK
Eden Hazard,Real Madrid,91,"LW, CF"
Kevin De Bruyne,Manchester City,91,"CAM, CM"
Marc-André ter Stegen,FC Barcelona,90,GK
Virgil van Dijk,Liverpool,90,CB
Luka Modrić,Real Madrid,90,CM
Mohamed  Salah Ghaly,Liverpool,90,"RW, ST"
Kylian Mbappé,Paris Saint-Germain,89,"ST, RW"
Kalidou Koulibaly,Napoli,89,CB
Harry Kane,Tottenham Hotspur,89,ST
Alisson Ramses Becker,Liverpool,89,GK
David De Gea Quintana,Manchester United,89,GK
N'Golo Kanté,Chelsea,89,"CDM, CM"
Giorgio Chiellini,Juventus,89,CB
Sergio Leonel Agüero del Castillo,Manchester City,89,ST
Sergio Ramos García,Real Madrid,89,CB
Luis Alberto Suárez Díaz,FC Barcelona,89,ST
Robert Lewandowski,FC Bayern München,89,ST
Sergio Busquets i Burgos,FC Barcelona,89,"CDM, CM"
Antoine Griezmann,FC Barcelona,89,"CF, ST, LW"
Paulo Bruno Exequiel Dybala,Juventus,88,"CAM, RW"
Paul Pogba,Manchester United,88,"CM, CDM"
Ederson Santana de Moraes,Manchester City,88,GK
Raheem Sterling,Manchester City,88,"RW, LW"
Christian  Dannemann Eriksen,Tottenham Hotspur,88,"CAM, CM"
Thibaut Courtois,Real Madrid,88,GK
Gerard Piqué Bernabéu,FC Barcelona,88,CB
Samir Handanovič,Inter,88,GK
Manuel Neuer,FC Bayern München,88,GK
Hugo Lloris,Tottenham Hotspur,88,GK
David Josué Jiménez Silva,Manchester City,88,"CAM, CM"
Edinson Roberto Cavani Gómez,Paris Saint-Germain,88,ST
Diego Godín,Inter,88,CB
Toni Kroos,Real Madrid,88,CM
Marco Reus,Borussia Dortmund,88,"CAM, LM, ST"
Pierre-Emerick Aubameyang,Arsenal,88,"ST, LM"
Sadio Mané,Liverpool,88,"LW, LM"
Aymeric  Laporte,Manchester City,87,"CB, LB"
Bernardo Mota Veiga de Carvalho e Silva,Manchester City,87,"RW, CAM, CM"
Carlos Henrique Venancio Casimiro,Real Madrid,87,CDM
손흥민 孙兴慜,Tottenham Hotspur,87,"CF, LM"
Fernando Luiz Rosa,Manchester City,87,CDM
Thiago Emiliano da Silva,Paris Saint-Germain,87,CB
Karim Benzema,Real Madrid,87,"CF, ST"
Jan Vertonghen,Tottenham Hotspur,87,CB
Dries Mertens,Napoli,87,"CF, ST"
Mats  Hummels,Borussia Dortmund,87,CB
Toby Alderweireld,Tottenham Hotspur,87,CB
Jordi Alba Ramos,FC Barcelona,87,LB
Thiago Alcântara do Nascimento,FC Bayern München,87,"CM, CAM, CDM"
Keylor Navas,Real Madrid,87,GK
Lorenzo Insigne,Napoli,87,"CF, LW, ST"
Leroy Sané,Manchester City,86,LW
Marcos  Aoás Corrêa,Paris Saint-Germain,86,"CB, CDM"
Milan Škriniar,Inter,86,CB
Marco Verratti,Paris Saint-Germain,86,"CM, CDM"
Samuel Umtiti,FC Barcelona,86,CB
Wojciech  Szczęsny,Juventus,86,GK
Joshua Kimmich,FC Bayern München,86,"RB, CM, CDM"
Francisco Román Alarcón Suárez,Real Madrid,86,"CAM, CM, LW"
Roberto Firmino Barbosa de Oliveira,Liverpool,86,"CF, ST, CAM"
Ivan Rakitić,FC Barcelona,86,"CM, CDM"
Miralem Pjanić,Juventus,86,"CM, CDM"
Ángel Fabián Di María Hernández,Paris Saint-Germain,86,"RW, LW"
Leonardo Bonucci,Juventus,86,CB
Philippe Coutinho Correia,FC Bayern München,86,"LW, CM"
Daniel Parejo Muñoz,Valencia CF,86,CM
Thomas Müller,FC Bayern München,86,"CAM, RM, RW"
Ciro Immobile,Lazio,86,ST
Alexandre Lacazette,Arsenal,86,ST
Matthijs de Ligt,Juventus,85,CB
Gianluigi Donnarumma,Milan,85,GK
Frenkie de Jong,FC Barcelona,85,"CM, CDM"
Raphaël Varane,Real Madrid,85,CB
Niklas Süle,FC Bayern München,85,CB
Sergej Milinković-Savić,Lazio,85,"CM, CAM"
Rodrigo Hernández Cascante,Manchester City,85,"CDM, CM"
Saúl Ñíguez Esclápez,Atlético Madrid,85,"CM, LM, RM"
Fábio Henrique Tavares,Liverpool,85,CDM
Andrew Robertson,Liverpool,85,LB
José María Giménez de Vargas,Atlético Madrid,85,CB
Clément Lenglet,FC Barcelona,85,CB
Bruno Miguel Borges Fernandes,Sporting CP,85,"CAM, CM"
Anthony Lopes,Olympique Lyonnais,85,GK
Péter Gulácsi,RB Leipzig,85,GK
Roman Bürki,Borussia Dortmund,85,GK
Romelu Lukaku,Inter,85,ST
Kostas Manolas,Napoli,85,CB
Norberto Murara Neto,FC Barcelona,85,GK
David Olatukunbo Alaba,FC Bayern München,85,"LB, CB"
Mauro Emanuel Icardi Rivero,Inter,85,ST
Daniel Carvajal Ramos,Real Madrid,85,RB
Hakim Ziyech,Ajax,85,"CAM, RW"
Zlatan Ibrahimović,LA Galaxy,85,ST
Alejandro Darío Gómez,Atalanta,85,"CAM, CF, ST"
Gonzalo Gerardo Higuaín,Juventus,85,ST
Blaise Matuidi,Juventus,85,"CDM, CM"
Gareth Frank Bale,Real Madrid,85,"RW, LW, ST"
Marcelo Vieira da Silva Júnior,Real Madrid,85,LB
Axel  Witsel,Borussia Dortmund,85,"CDM, CM"
Alex Sandro Lobo Silva,Juventus,85,"LB, LM"
Iago Aspas Juncal,RC Celta,85,"ST, RW"
Jorge Resurrección Merodio,Atlético Madrid,85,"RM, LM, CM"
James David Rodríguez Rubio,Real Madrid,85,"CAM, CM, RM"
Allan Marques Loureiro,Napoli,85,CM
Jadon Sancho,Borussia Dortmund,84,"RM, LM"
Kai Havertz,Bayer 04 Leverkusen,84,"CAM, RM"
Ousmane Dembélé,FC Barcelona,84,"RW, LW"
Kepa Arrizabalaga,Chelsea,84,GK
João Pedro Cavaco Cancelo,Manchester City,84,RB
Bamidele Alli,Tottenham Hotspur,84,"CAM, CM"
Lucas Hernández,FC Bayern München,84,"CB, LB"
Arthur Henrique Ramos Oliveira Melo,FC Barcelona,84,CM
Memphis Depay,Olympique Lyonnais,84,"CF, LW, CAM"
Leon Goretzka,FC Bayern München,84,"CM, CAM, CDM"
Julian Brandt,Borussia Dortmund,84,"CAM, LM, RM"
Kingsley Coman,FC Bayern München,84,"LM, RM, LW"
Serge Gnabry,FC Bayern München,84,"RM, LM, LW"
Nabil Fekir,Real Betis,84,CAM
Bernd Leno,Arsenal,84,GK
Luis Alberto Romero Alconchel,Lazio,84,"CAM, CM, CF"
Alex Nicolao Telles,FC Porto,84,LB
Jiří Pavlenka,SV Werder Bremen,84,GK
Stefan de Vrij,Inter,84,CB
Felipe  Anderson Pereira Gomes,West Ham United,84,LM
Képler Laveran Lima Ferreira,FC Porto,84,CB
João Filipe Iria Santos Moutinho,Wolverhampton Wanderers,84,CM
Stéphane Ruffier,AS Saint-Étienne,84,GK
Salvatore Sirigu,Torino,84,GK
Marek Hamšík,Dalian YiFang FC,84,CM
Sokratis Papastathopoulos,Arsenal,84,CB
Lucas  Pezzini Leiva,Lazio,84,CDM
Mesut Özil,Arsenal,84,"CAM, RW"
Javier Martínez Aginaga,FC Bayern München,84,"CDM, CB"
Yann Sommer,Borussia Mönchengladbach,84,GK
Edin Džeko,Roma,84,ST
Georginio Wijnaldum,Liverpool,84,"CM, CDM"
Ivan Perišić,FC Bayern München,84,LM
Mario Mandžukić,Juventus,84,"ST, LW"
Arturo Vidal,FC Barcelona,84,"CM, CDM"
Jérôme Boateng,FC Bayern München,84,CB
César Azpilicueta Tanco,Chelsea,84,"RB, CB"
José María Callejón Bueno,Napoli,84,"RM, RW"
İlkay Gündoğan,Manchester City,84,"CM, CDM"
José Paulo Bezzera Maciel Júnior,Guangzhou Evergrande Taobao FC,84,"CM, CAM, CDM"
Kyle Walker,Manchester City,84,RB
Sergio Canales Madrazo,Real Betis,84,"CAM, CM, CF"
Douglas Costa de Souza,Juventus,84,"LM, RW, LW"
Luís Miguel Afonso Fernandes,SL Benfica,84,"RM, CM"
Dušan Tadić,Ajax,84,"CAM, LW, ST"
Josip Iličić,Atalanta,84,"CF, ST"
Riyad Mahrez,Manchester City,84,"RW, RM"
Edin Višća,Medipol Başakşehir FK,84,"RM, RW"
Felipe Augusto de Almeida Monteiro,Atlético Madrid,84,CB
Fabián Ruiz Peña,Napoli,83,"CM, CDM, CAM"
Alessio Romagnoli,Milan,83,CB
Giovani Lo Celso,Tottenham Hotspur,83,"CM, CAM, CF"
Trent Alexander-Arnold,Liverpool,83,RB
Luka Jović,Real Madrid,83,ST
Arkadiusz Milik,Napoli,83,ST
Anthony Martial,Manchester United,83,"LW, ST, LM"
Anderson Souza Conceição,Guangzhou Evergrande Taobao FC,83,"CAM, RW"
Jonathan Tah,Bayer 04 Leverkusen,83,CB
Corentin Tolisso,FC Bayern München,83,"CM, CDM"
Pau López Sabata,Roma,83,GK
Gonçalo Manuel Ganchinho Guedes,Valencia CF,83,"LM, ST"
Nicolas Pépé,Arsenal,83,"RM, RW, ST"
Manuel Obafemi Akanji,Borussia Dortmund,83,CB
Marcus Rashford,Manchester United,83,"ST, LM"
John Stones,Manchester City,83,CB
Adrien Rabiot,Juventus,83,"CM, CDM"
Alejandro Grimaldo García,SL Benfica,83,LB
Timo Werner,RB Leipzig,83,ST
Thomas Lemar,Atlético Madrid,83,"LM, CAM, RM"
Davinson Sánchez,Tottenham Hotspur,83,CB
Marco Asensio Willemsen,Real Madrid,83,"LW, RW"
Lucas Digne,Everton,83,LB
Julian Draxler,Paris Saint-Germain,83,"CAM, CM, LW"
Jordan Pickford,Everton,83,GK
Yannick Ferreira Carrasco,Dalian YiFang FC,83,LM
Borja Iglesias Quintas,Real Betis,83,ST
Koen Casteels,VfL Wolfsburg,83,GK
Wilfried Zaha,Crystal Palace,83,"CF, LM, LW"
Francisco Alcácer García,Borussia Dortmund,83,ST
Álvaro Borja Morata Martín,Atlético Madrid,83,ST
Sébastien Haller,West Ham United,83,ST
William Silva de Carvalho,Real Betis,83,"CDM, CM"
Federico Bernardeschi,Juventus,83,"RM, CAM"
Djené Dakonam Ortega,Getafe CF,83,CB
Oscar dos Santos Emboaba Júnior,Shanghai SIPG FC,83,"CAM, CM"
Kevin Trapp,Eintracht Frankfurt,83,GK
Marc Bartra Aregall,Real Betis,83,CB
Pablo Sarabia García,Paris Saint-Germain,83,"CAM, CM, RM"
Jasper Cillessen,Valencia CF,83,GK
Lucas Rodrigues M. Silva,Tottenham Hotspur,83,"CF, RM, LM"
Florian Thauvin,Olympique de Marseille,83,"RW, RM"
Luiz Frello Filho Jorge,Chelsea,83,"CM, CDM"
Gianluigi Buffon,Juventus,83,GK
Iker Casillas Fernández,FC Porto,83,GK
Rune  Almenning Jarstein,Hertha BSC,83,GK
Vincent Kompany,RSC Anderlecht,83,CB
Raúl Albiol Tortajada,Villarreal CF,83,CB
Fabio Quagliarella,Sampdoria,83,ST
Kasper Schmeichel,Leicester City,83,GK
Radamel Falcao García Zárate,AS Monaco,83,ST
João Miranda de Souza Filho,Jiangsu Suning FC,83,CB
Carlos Alberto Vela Garrido,Los Angeles FC,83,"RW, LW, CAM"
Ezequiel Marcelo Garay,Valencia CF,83,CB
Rui Pedro dos Santos Patrício,Wolverhampton Wanderers,83,GK
Radja Nainggolan,Cagliari,83,"CAM, CM"
Éver Maximiliano David Banega,Sevilla FC,83,"CDM, CM, CAM"
Diego da Silva Costa,Atlético Madrid,83,ST
Sami Khedira,Juventus,83,"CM, CDM"
David Luiz Moreira Marinho,Arsenal,83,CB
Max Kruse,Fenerbahçe SK,83,"CF, ST, CAM"
Jordan Brian Henderson,Liverpool,83,"CDM, CM"
Gylfi Þór Sigurðsson,Everton,83,CAM
Aaron Ramsey,Juventus,83,"CM, CAM"
Asier Illarramendi Andonegi,Real Sociedad,83,"CDM, CM"
Daley Blind,Ajax,83,"CDM, CB, LB"
Lukáš Hrádecký,Bayer 04 Leverkusen,83,GK
Nicolás Hernán Otamendi,Manchester City,83,CB
Juan Cuadrado,Juventus,83,"RM, RW"
Idrissa Gana Gueye,Paris Saint-Germain,83,CDM
Kevin Kampl,RB Leipzig,83,"CM, CAM, CDM"
Rodrigo Moreno Machado,Valencia CF,83,ST
Charles Mariano Aránguiz Sandoval,Bayer 04 Leverkusen,83,"CM, CDM"
Wissam Ben Yedder,AS Monaco,83,ST
Francesco Acerbi,Lazio,83,CB
Danilo Luís Hélio Pereira,FC Porto,83,"CDM, CM"
Andrej Kramarić,TSG 1899 Hoffenheim,83,"ST, CAM, LW"
Lourival Adnan Beretta Barbosa,Atlético Mineiro,83,"ST, CF"
Josué Durval Chiamulera Vaz,Grêmio,83,CB
Ronaldo Jailson Cabrais Petri,Grêmio,83,"RW, CAM"
Mikel Oyarzabal Ugarte,Real Sociedad,82,"LW, LM, RW"
