Name,club,overall,player_positions
Cristiano Ronaldo dos Santos Aveiro,Real Madrid,94,"LW, LM, ST"
Lionel Andrés Messi Cuccittini,FC Barcelona,93,RW
Neymar da Silva Santos Junior,FC Barcelona,92,LW
Manuel Neuer,FC Bayern München,92,GK
Luis Alberto Suárez Díaz,FC Barcelona,92,ST
David De Gea Quintana,Manchester United,90,GK
Zlatan Ibrahimović,Manchester United,90,ST
Gareth Frank Bale,Real Madrid,90,RW
Jérôme Boateng,FC Bayern München,90,CB
Robert Lewandowski,FC Bayern München,90,ST
Thibaut Courtois,Chelsea,89,GK
Mesut Özil,Arsenal,89,"CAM, LW"
Sergio Leonel Agüero del Castillo,Manchester City,89,ST
Sergio Ramos García,Real Madrid,89,CB
Thiago Emiliano da Silva,Paris Saint-Germain,89,CB
Luka Modrić,Real Madrid,89,"CM, CDM"
Paul Pogba,Manchester United,88,"CM, CDM, CAM"
Antoine Griezmann,Atlético Madrid,88,"ST, RW, LW"
Kevin De Bruyne,Manchester City,88,"CAM, RM, LM"
Toni Kroos,Real Madrid,88,"CM, CDM"
Eden Hazard,Chelsea,88,"LM, CAM, LW"
Gianluigi Buffon,Juventus,88,GK
Petr Čech,Arsenal,88,GK
Képler Laveran Lima Ferreira,Real Madrid,88,CB
Philipp Lahm,FC Bayern München,88,"RB, CDM, CM"
Giorgio Chiellini,Juventus,88,CB
Gonzalo Gerardo Higuaín,Juventus,88,ST
Hugo Lloris,Tottenham Hotspur,88,GK
Diego Godín,Atlético Madrid,88,CB
Marco Reus,Borussia Dortmund,88,"LM, CAM"
James David Rodríguez Rubio,Real Madrid,87,"CAM, CM, RM"
Jan Oblak,Atlético Madrid,87,GK
David Olatukunbo Alaba,FC Bayern München,87,"LB, CB, CM"
Sergio Busquets i Burgos,FC Barcelona,87,CDM
Thomas Müller,FC Bayern München,87,"CF, RW, CAM, ST"
Arjen Robben,FC Bayern München,87,"RM, RW"
Samir Handanovič,Inter,87,GK
Karim Benzema,Real Madrid,87,ST
David Josué Jiménez Silva,Manchester City,87,"CAM, LM"
Ivan Rakitić,FC Barcelona,87,CM
Mats  Hummels,FC Bayern München,87,CB
Arturo Vidal,FC Bayern München,87,"CM, CDM"
Ángel Fabián Di María Hernández,Paris Saint-Germain,87,"RW, CM, CAM"
Leonardo Bonucci,Juventus,87,CB
Alexis Alejandro Sánchez Sánchez,Arsenal,87,"LW, LM, RW"
Bernd Leno,Bayer 04 Leverkusen,86,GK
Pierre-Emerick Aubameyang,Borussia Dortmund,86,"ST, RM"
Jordi Alba Ramos,FC Barcelona,86,LB
Andrea Barzagli,Juventus,86,CB
Vincent Kompany,Manchester City,86,CB
Santiago Cazorla González,Arsenal,86,"CAM, CM, CDM"
Gerard Piqué Bernabéu,FC Barcelona,86,CB
Franck Bilal Ribéry,FC Bayern München,86,LM
Francesc Fàbregas i Soler,Chelsea,86,"CM, CAM"
João Miranda de Souza Filho,Inter,86,CB
Blaise Matuidi,Paris Saint-Germain,86,"CDM, CM"
Claudio Marchisio,Juventus,86,"CM, CDM"
Marcelo Vieira da Silva Júnior,Real Madrid,86,LB
Dimitri  Payet,West Ham United,86,"LM, CAM"
Paulo Bruno Exequiel Dybala,Juventus,85,"ST, CF"
Marco Verratti,Paris Saint-Germain,85,"CM, CDM"
Philippe Coutinho Correia,Liverpool,85,"CAM, LW, CM"
Alexandre Lacazette,Olympique Lyonnais,85,ST
Riyad Mahrez,Leicester City,85,"RM, CAM"
Miralem Pjanić,Juventus,85,CM
İlkay Gündoğan,Manchester City,85,"CM, CDM"
Diego da Silva Costa,Chelsea,85,ST
Toby Alderweireld,Tottenham Hotspur,85,CB
